measure,quantile,time,sex,age,ethnic,value
lx,2.50%,2017-19,Male,1 years,Total,99470
lx,2.50%,2017-19,Male,2 years,Total,99433
lx,2.50%,2017-19,Male,3 years,Total,99406
lx,2.50%,2017-19,Male,4 years,Total,99387
lx,2.50%,2017-19,Male,5 years,Total,99371
lx,2.50%,2017-19,Male,6 years,Total,99359
lx,2.50%,2017-19,Male,7 years,Total,99348
lx,2.50%,2017-19,Male,8 years,Total,99337
lx,2.50%,2017-19,Male,9 years,Total,99327
lx,2.50%,2017-19,Male,10 years,Total,99316
lx,2.50%,2017-19,Male,11 years,Total,99304
lx,2.50%,2017-19,Male,12 years,Total,99290
lx,2.50%,2017-19,Male,13 years,Total,99272
lx,2.50%,2017-19,Male,14 years,Total,99250
lx,2.50%,2017-19,Male,15 years,Total,99223
lx,2.50%,2017-19,Male,16 years,Total,99188
lx,2.50%,2017-19,Male,17 years,Total,99144
lx,2.50%,2017-19,Male,18 years,Total,99092
lx,2.50%,2017-19,Male,19 years,Total,99032
lx,2.50%,2017-19,Male,20 years,Total,98965
lx,2.50%,2017-19,Male,21 years,Total,98892
lx,2.50%,2017-19,Male,22 years,Total,98814
lx,2.50%,2017-19,Male,23 years,Total,98733
lx,2.50%,2017-19,Male,24 years,Total,98651
lx,2.50%,2017-19,Male,25 years,Total,98569
lx,2.50%,2017-19,Male,26 years,Total,98490
lx,2.50%,2017-19,Male,27 years,Total,98412
lx,2.50%,2017-19,Male,28 years,Total,98336
lx,2.50%,2017-19,Male,29 years,Total,98260
lx,2.50%,2017-19,Male,30 years,Total,98184
lx,2.50%,2017-19,Male,31 years,Total,98102
lx,2.50%,2017-19,Male,32 years,Total,98017
lx,2.50%,2017-19,Male,33 years,Total,97928
lx,2.50%,2017-19,Male,34 years,Total,97833
lx,2.50%,2017-19,Male,35 years,Total,97736
lx,2.50%,2017-19,Male,36 years,Total,97638
lx,2.50%,2017-19,Male,37 years,Total,97536
lx,2.50%,2017-19,Male,38 years,Total,97428
lx,2.50%,2017-19,Male,39 years,Total,97312
lx,2.50%,2017-19,Male,40 years,Total,97191
lx,2.50%,2017-19,Male,41 years,Total,97062
lx,2.50%,2017-19,Male,42 years,Total,96926
lx,2.50%,2017-19,Male,43 years,Total,96778
lx,2.50%,2017-19,Male,44 years,Total,96615
lx,2.50%,2017-19,Male,45 years,Total,96449
lx,2.50%,2017-19,Male,46 years,Total,96265
lx,2.50%,2017-19,Male,47 years,Total,96070
lx,2.50%,2017-19,Male,48 years,Total,95860
lx,2.50%,2017-19,Male,49 years,Total,95623
lx,2.50%,2017-19,Male,50 years,Total,95370
lx,2.50%,2017-19,Male,51 years,Total,95091
lx,2.50%,2017-19,Male,52 years,Total,94785
lx,2.50%,2017-19,Male,53 years,Total,94442
lx,2.50%,2017-19,Male,54 years,Total,94070
lx,2.50%,2017-19,Male,55 years,Total,93667
lx,2.50%,2017-19,Male,56 years,Total,93243
lx,2.50%,2017-19,Male,57 years,Total,92790
lx,2.50%,2017-19,Male,58 years,Total,92292
lx,2.50%,2017-19,Male,59 years,Total,91750
lx,2.50%,2017-19,Male,60 years,Total,91137
lx,2.50%,2017-19,Male,61 years,Total,90496
lx,2.50%,2017-19,Male,62 years,Total,89825
lx,2.50%,2017-19,Male,63 years,Total,89092
lx,2.50%,2017-19,Male,64 years,Total,88298
lx,2.50%,2017-19,Male,65 years,Total,87439
lx,2.50%,2017-19,Male,66 years,Total,86525
lx,2.50%,2017-19,Male,67 years,Total,85526
lx,2.50%,2017-19,Male,68 years,Total,84462
lx,2.50%,2017-19,Male,69 years,Total,83350
